wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath,dispersion_px_per_nm,resolution_nm
1667,650.030398,647,265.066097,scan_blocks_output/B7_1301_1700/00183_1667nm.npy,0.08815375000000358,45.3752676431784
1669,650.128733,648,265.164432,scan_blocks_output/B7_1301_1700/00184_1669nm.npy,0.05098350000000096,78.45675561701188
1671,650.234332,648,265.27003,scan_blocks_output/B7_1301_1700/00185_1671nm.npy,0.05332849999999212,75.00679749103371
1673,650.342047,649,265.377746,scan_blocks_output/B7_1301_1700/00186_1673nm.npy,0.09201575000000162,43.47081885438014
1675,650.602395,649,265.638093,scan_blocks_output/B7_1301_1700/00187_1675nm.npy,0.09495599999999627,42.12477357934367
1677,650.721871,649,265.75757,scan_blocks_output/B7_1301_1700/00188_1677nm.npy,0.05967524999999796,67.02946363861294
1679,650.841096,650,265.876795,scan_blocks_output/B7_1301_1700/00189_1679nm.npy,0.09579050000002098,41.757794353293114
1681,651.105033,650,266.140732,scan_blocks_output/B7_1301_1700/00190_1681nm.npy,0.09092325000000301,43.99314806718708
1683,651.204789,651,266.240488,scan_blocks_output/B7_1301_1700/00191_1683nm.npy,0.05139074999999593,77.83501894796859
1685,651.310596,652,266.346295,scan_blocks_output/B7_1301_1700/00192_1685nm.npy,0.05619375000000559,71.18229340450854
1687,651.429564,652,266.465263,scan_blocks_output/B7_1301_1700/00193_1687nm.npy,0.09102974999998992,43.941678407338735
1689,651.674715,652,266.710414,scan_blocks_output/B7_1301_1700/00194_1689nm.npy,0.08617624999999407,46.416501066132206
1691,651.774269,653,266.809968,scan_blocks_output/B7_1301_1700/00195_1691nm.npy,0.04860800000000154,82.29098090848983
1693,651.869147,653,266.904846,scan_blocks_output/B7_1301_1700/00196_1693nm.npy,0.08692700000000286,46.01562230377061
1695,652.121977,653,267.157676,scan_blocks_output/B7_1301_1700/00197_1695nm.npy,0.08343350000001237,47.94237326732556
1697,652.202881,653,267.23858,scan_blocks_output/B7_1301_1700/00198_1697nm.npy,0.044908499999991136,89.06999788460513
1699,652.301611,653,267.33731,scan_blocks_output/B7_1301_1700/00199_1699nm.npy,0.04936499999996613,81.0290691786234
